FIPS,STATE,COUNTY
17073,Illinois,Henry
17075,Illinois,Iroquois
17077,Illinois,Jackson
17079,Illinois,Jasper
17081,Illinois,Jefferson
17083,Illinois,Jersey
17085,Illinois,Jo Daviess
17087,Illinois,Johnson
17089,Illinois,Kane
17091,Illinois,Kankakee
17093,Illinois,Kendall
17095,Illinois,Knox
17097,Illinois,Lake
17099,Illinois,LaSalle
17101,Illinois,Lawrence
17103,Illinois,Lee
17105,Illinois,Livingston
17107,Illinois,Logan
17109,Illinois,McDonough
17111,Illinois,McHenry
17113,Illinois,McLean
17115,Illinois,Macon
17117,Illinois,Macoupin
17119,Illinois,Madison
17121,Illinois,Marion
17123,Illinois,Marshall
17125,Illinois,Mason
17127,Illinois,Massac
17129,Illinois,Menard
17131,Illinois,Mercer
17133,Illinois,Monroe
17135,Illinois,Montgomery
17137,Illinois,Morgan
17139,Illinois,Moultrie
17141,Illinois,Ogle
17143,Illinois,Peoria
17145,Illinois,Perry
17147,Illinois,Piatt
17149,Illinois,Pike
17151,Illinois,Pope
17153,Illinois,Pulaski
17155,Illinois,Putnam
17157,Illinois,Randolph
17159,Illinois,Richland
17161,Illinois,Rock Island
17163,Illinois,St. Clair
17165,Illinois,Saline
17167,Illinois,Sangamon
17169,Illinois,Schuyler
17171,Illinois,Scott
17173,Illinois,Shelby
17175,Illinois,Stark
17177,Illinois,Stephenson
17179,Illinois,Tazewell
17181,Illinois,Union
17183,Illinois,Vermilion
17185,Illinois,Wabash
17187,Illinois,Warren
17189,Illinois,Washington
17191,Illinois,Wayne
17193,Illinois,White
17195,Illinois,Whiteside
17197,Illinois,Will
17199,Illinois,Williamson
17201,Illinois,Winnebago
17203,Illinois,Woodford
18001,Indiana,Adams
18003,Indiana,Allen
18005,Indiana,Bartholomew
18007,Indiana,Benton
18009,Indiana,Blackford
18011,Indiana,Boone
18013,Indiana,Brown
18015,Indiana,Carroll
18017,Indiana,Cass
18019,Indiana,Clark
18021,Indiana,Clay
18023,Indiana,Clinton
18025,Indiana,Crawford
18027,Indiana,Daviess
18029,Indiana,Dearborn
18031,Indiana,Decatur
18033,Indiana,DeKalb
18035,Indiana,Delaware
18037,Indiana,Dubois
18039,Indiana,Elkhart
18041,Indiana,Fayette
18043,Indiana,Floyd
18045,Indiana,Fountain
18047,Indiana,Franklin
18049,Indiana,Fulton
18051,Indiana,Gibson
18053,Indiana,Grant
18055,Indiana,Greene
18057,Indiana,Hamilton
18059,Indiana,Hancock
18061,Indiana,Harrison
18063,Indiana,Hendricks
18065,Indiana,Henry
18067,Indiana,Howard
18069,Indiana,Huntington
18071,Indiana,Jackson
18073,Indiana,Jasper
18075,Indiana,Jay
18077,Indiana,Jefferson
18079,Indiana,Jennings
18081,Indiana,Johnson
18083,Indiana,Knox
18085,Indiana,Kosciusko
18087,Indiana,LaGrange
18089,Indiana,Lake
18091,Indiana,LaPorte
18093,Indiana,Lawrence
18095,Indiana,Madison
18097,Indiana,Marion
18099,Indiana,Marshall
18101,Indiana,Martin
18103,Indiana,Miami
18105,Indiana,Monroe
18107,Indiana,Montgomery
18109,Indiana,Morgan
18111,Indiana,Newton
18113,Indiana,Noble
18115,Indiana,Ohio
18117,Indiana,Orange
18119,Indiana,Owen
18121,Indiana,Parke
18123,Indiana,Perry
18125,Indiana,Pike
18127,Indiana,Porter
18129,Indiana,Posey
18131,Indiana,Pulaski
18133,Indiana,Putnam
18135,Indiana,Randolph
18137,Indiana,Ripley
18139,Indiana,Rush
18141,Indiana,St. Joseph
18143,Indiana,Scott
18145,Indiana,Shelby
18147,Indiana,Spencer
18149,Indiana,Starke
18151,Indiana,Steuben
18153,Indiana,Sullivan
18155,Indiana,Switzerland
18157,Indiana,Tippecanoe
18159,Indiana,Tipton
18161,Indiana,Union
18163,Indiana,Vanderburgh
18165,Indiana,Vermillion
18167,Indiana,Vigo
18169,Indiana,Wabash
18171,Indiana,Warren
18173,Indiana,Warrick
18175,Indiana,Washington
18177,Indiana,Wayne
18179,Indiana,Wells
18181,Indiana,White
18183,Indiana,Whitley
19001,Iowa,Adair
19003,Iowa,Adams
19005,Iowa,Allamakee
19007,Iowa,Appanoose
19009,Iowa,Audubon
19011,Iowa,Benton
19013,Iowa,Black Hawk
19015,Iowa,Boone
19017,Iowa,Bremer
19019,Iowa,Buchanan
19021,Iowa,Buena Vista
19023,Iowa,Butler
19025,Iowa,Calhoun
19027,Iowa,Carroll
19029,Iowa,Cass
19031,Iowa,Cedar
19033,Iowa,Cerro Gordo
19035,Iowa,Cherokee
19037,Iowa,Chickasaw
19039,Iowa,Clarke
19041,Iowa,Clay
19043,Iowa,Clayton
19045,Iowa,Clinton
19047,Iowa,Crawford
19049,Iowa,Dallas
19051,Iowa,Davis
19053,Iowa,Decatur
19055,Iowa,Delaware
19057,Iowa,Des Moines
19059,Iowa,Dickinson
19061,Iowa,Dubuque
19063,Iowa,Emmet
19065,Iowa,Fayette
19067,Iowa,Floyd
19069,Iowa,Franklin
19071,Iowa,Fremont
19073,Iowa,Greene
19075,Iowa,Grundy
19077,Iowa,Guthrie
19079,Iowa,Hamilton
19081,Iowa,Hancock
19083,Iowa,Hardin
19085,Iowa,Harrison
19087,Iowa,Henry
19089,Iowa,Howard
19091,Iowa,Humboldt
19093,Iowa,Ida
19095,Iowa,Iowa
19097,Iowa,Jackson
19099,Iowa,Jasper
19101,Iowa,Jefferson
19103,Iowa,Johnson
19105,Iowa,Jones
19107,Iowa,Keokuk
19109,Iowa,Kossuth
19111,Iowa,Lee
19113,Iowa,Linn
19115,Iowa,Louisa
19117,Iowa,Lucas
19119,Iowa,Lyon
19121,Iowa,Madison
19123,Iowa,Mahaska
19125,Iowa,Marion
19127,Iowa,Marshall
19129,Iowa,Mills
19131,Iowa,Mitchell
19133,Iowa,Monona
19135,Iowa,Monroe
19137,Iowa,Montgomery
19139,Iowa,Muscatine
19141,Iowa,O'Brien
19143,Iowa,Osceola
19145,Iowa,Page
19147,Iowa,Palo Alto
19149,Iowa,Plymouth
19151,Iowa,Pocahontas
19153,Iowa,Polk
19155,Iowa,Pottawattamie
19157,Iowa,Poweshiek
19159,Iowa,Ringgold
19161,Iowa,Sac
19163,Iowa,Scott
19165,Iowa,Shelby
19167,Iowa,Sioux
19169,Iowa,Story
19171,Iowa,Tama
19173,Iowa,Taylor
19175,Iowa,Union
19177,Iowa,Van Buren
19179,Iowa,Wapello
19181,Iowa,Warren
19183,Iowa,Washington
19185,Iowa,Wayne
19187,Iowa,Webster
19189,Iowa,Winnebago
19191,Iowa,Winneshiek
19193,Iowa,Woodbury
19195,Iowa,Worth
19197,Iowa,Wright
20001,Kansas,Allen
20003,Kansas,Anderson
20005,Kansas,Atchison
20007,Kansas,Barber
20009,Kansas,Barton
20011,Kansas,Bourbon
20013,Kansas,Brown
20015,Kansas,Butler
20017,Kansas,Chase
20019,Kansas,Chautauqua
20021,Kansas,Cherokee
20023,Kansas,Cheyenne
20025,Kansas,Clark
20027,Kansas,Clay
20029,Kansas,Cloud
20031,Kansas,Coffey
20033,Kansas,Comanche
20035,Kansas,Cowley
20037,Kansas,Crawford
20039,Kansas,Decatur
20041,Kansas,Dickinson
20043,Kansas,Doniphan
20045,Kansas,Douglas
20047,Kansas,Edwards
20049,Kansas,Elk
20051,Kansas,Ellis
20053,Kansas,Ellsworth
20055,Kansas,Finney
20057,Kansas,Ford
20059,Kansas,Franklin
20061,Kansas,Geary
20063,Kansas,Gove
20065,Kansas,Graham
20067,Kansas,Grant
20069,Kansas,Gray
20071,Kansas,Greeley
20073,Kansas,Greenwood
20075,Kansas,Hamilton
20077,Kansas,Harper
20079,Kansas,Harvey
20081,Kansas,Haskell
20083,Kansas,Hodgeman
20085,Kansas,Jackson
20087,Kansas,Jefferson
20089,Kansas,Jewell
20091,Kansas,Johnson
20093,Kansas,Kearny
20095,Kansas,Kingman
20097,Kansas,Kiowa
20099,Kansas,Labette
20101,Kansas,Lane
20103,Kansas,Leavenworth
20105,Kansas,Lincoln
20107,Kansas,Linn
20109,Kansas,Logan
20111,Kansas,Lyon
20113,Kansas,McPherson
20115,Kansas,Marion
20117,Kansas,Marshall
20119,Kansas,Meade
20121,Kansas,Miami
20123,Kansas,Mitchell
20125,Kansas,Montgomery
20127,Kansas,Morris
20129,Kansas,Morton
20131,Kansas,Nemaha
20133,Kansas,Neosho
20135,Kansas,Ness
20137,Kansas,Norton
20139,Kansas,Osage
20141,Kansas,Osborne
20143,Kansas,Ottawa
20145,Kansas,Pawnee
20147,Kansas,Phillips
20149,Kansas,Pottawatomie
20151,Kansas,Pratt
20153,Kansas,Rawlins
20155,Kansas,Reno
20157,Kansas,Republic
20159,Kansas,Rice
20161,Kansas,Riley
20163,Kansas,Rooks
20165,Kansas,Rush
20167,Kansas,Russell
20169,Kansas,Saline
20171,Kansas,Scott
20173,Kansas,Sedgwick
20175,Kansas,Seward
20177,Kansas,Shawnee
20179,Kansas,Sheridan
20181,Kansas,Sherman
20183,Kansas,Smith
20185,Kansas,Stafford
20187,Kansas,Stanton
20189,Kansas,Stevens
20191,Kansas,Sumner
20193,Kansas,Thomas
20195,Kansas,Trego
20197,Kansas,Wabaunsee
20199,Kansas,Wallace
20201,Kansas,Washington
20203,Kansas,Wichita
20205,Kansas,Wilson
20207,Kansas,Woodson
20209,Kansas,Wyandotte
21001,Kentucky,Adair
21003,Kentucky,Allen
21005,Kentucky,Anderson
21007,Kentucky,Ballard
21009,Kentucky,Barren
21011,Kentucky,Bath
21013,Kentucky,Bell
21015,Kentucky,Boone
21017,Kentucky,Bourbon
21019,Kentucky,Boyd
21021,Kentucky,Boyle
21023,Kentucky,Bracken
21025,Kentucky,Breathitt
21027,Kentucky,Breckinridge
21029,Kentucky,Bullitt
21031,Kentucky,Butler
21033,Kentucky,Caldwell
21035,Kentucky,Calloway
21037,Kentucky,Campbell
21039,Kentucky,Carlisle
21041,Kentucky,Carroll
21043,Kentucky,Carter
21045,Kentucky,Casey
21047,Kentucky,Christian
21049,Kentucky,Clark
21051,Kentucky,Clay
21053,Kentucky,Clinton
21055,Kentucky,Crittenden
21057,Kentucky,Cumberland
21059,Kentucky,Daviess
21061,Kentucky,Edmonson
21063,Kentucky,Elliott
21065,Kentucky,Estill
21067,Kentucky,Fayette
21069,Kentucky,Fleming
21071,Kentucky,Floyd
21073,Kentucky,Franklin
21075,Kentucky,Fulton
21077,Kentucky,Gallatin
21079,Kentucky,Garrard
21081,Kentucky,Grant
21083,Kentucky,Graves
21085,Kentucky,Grayson
21087,Kentucky,Green
21089,Kentucky,Greenup
21091,Kentucky,Hancock
21093,Kentucky,Hardin
21095,Kentucky,Harlan
21097,Kentucky,Harrison
21099,Kentucky,Hart
21101,Kentucky,Henderson
21103,Kentucky,Henry
21105,Kentucky,Hickman
21107,Kentucky,Hopkins
21109,Kentucky,Jackson
21111,Kentucky,Jefferson
21113,Kentucky,Jessamine
21115,Kentucky,Johnson
21117,Kentucky,Kenton
21119,Kentucky,Knott
21121,Kentucky,Knox
21123,Kentucky,Larue
21125,Kentucky,Laurel
21127,Kentucky,Lawrence
21129,Kentucky,Lee
21131,Kentucky,Leslie
21133,Kentucky,Letcher
21135,Kentucky,Lewis
21137,Kentucky,Lincoln
21139,Kentucky,Livingston
21141,Kentucky,Logan
21143,Kentucky,Lyon
21145,Kentucky,McCracken
21147,Kentucky,McCreary
21149,Kentucky,McLean
21151,Kentucky,Madison
21153,Kentucky,Magoffin
21155,Kentucky,Marion
21157,Kentucky,Marshall
21159,Kentucky,Martin
21161,Kentucky,Mason
21163,Kentucky,Meade
21165,Kentucky,Menifee
21167,Kentucky,Mercer
21169,Kentucky,Metcalfe
21171,Kentucky,Monroe
21173,Kentucky,Montgomery
21175,Kentucky,Morgan
21177,Kentucky,Muhlenberg
21179,Kentucky,Nelson
21181,Kentucky,Nicholas
21183,Kentucky,Ohio
21185,Kentucky,Oldham
21187,Kentucky,Owen
21189,Kentucky,Owsley
21191,Kentucky,Pendleton
21193,Kentucky,Perry
21195,Kentucky,Pike
21197,Kentucky,Powell
21199,Kentucky,Pulaski
21201,Kentucky,Robertson
21203,Kentucky,Rockcastle
21205,Kentucky,Rowan
21207,Kentucky,Russell
21209,Kentucky,Scott
21211,Kentucky,Shelby
21213,Kentucky,Simpson
21215,Kentucky,Spencer
21217,Kentucky,Taylor
21219,Kentucky,Todd
21221,Kentucky,Trigg
21223,Kentucky,Trimble
21225,Kentucky,Union
21227,Kentucky,Warren
21229,Kentucky,Washington
21231,Kentucky,Wayne
21233,Kentucky,Webster
21235,Kentucky,Whitley
